Timestamp,Birthday,Birthday,Zodiac,MBTI Type,,,,,,,,
4/13/2020 4:59,4/10/2000,4/10,Aries,INFP,,,,,,,,
4/12/2020 19:23,4/9/2000,4/9,Aries,ESTP,,,,,,,,
4/12/2020 22:57,4/8/2000,4/8,Aries,INTJ,,,,,,,,
4/12/2020 23:32,4/6/2000,4/6,Aries,INTJ,,,,,,,,
4/13/2020 0:29,4/6/2000,4/6,Aries,INFP,,,,,,,,
4/12/2020 21:45,4/5/2000,4/5,Aries,ISTP,,,,,,,,
4/13/2020 9:06,4/4/2000,4/4,Aries,INFP,,,,,,,,
4/13/2020 13:10,4/3/2000,4/3,Aries,ENTJ,,,,,,,,
4/12/2020 19:18,3/24/2000,3/24,Aries,INFP,,,,,,,,
4/13/2020 5:08,3/23/2000,3/23,Aries,ENFP,,,,,,,,
4/13/2020 2:54,3/22/2000,3/22,Aries,ENFP,,,,,,,,
4/13/2020 1:16,3/20/2000,3/20,Pisces,ISFP,,,,,,,,
4/12/2020 19:37,3/17/2000,3/17,Pisces,INTJ,,,,,,,,
4/13/2020 3:52,3/15/2000,3/15,Pisces,INFP,,,,,,,,
4/13/2020 4:15,3/13/2000,3/13,Pisces,ISTJ,,,,,,,,
4/12/2020 17:45,3/8/2000,3/8,Pisces,ISTJ,,,,,,,,
4/13/2020 1:20,3/8/2000,3/8,Pisces,INFP,,,,,,,,
4/13/2020 8:29,3/5/2000,3/5,Pisces,INTJ,,,,,,,,
4/13/2020 0:27,3/1/2000,3/1,Pisces,INTJ,,,,,,,,
4/13/2020 0:27,3/1/2000,3/1,Pisces,INTJ,,,,,,,,
4/13/2020 6:18,2/27/2000,2/27,Pisces,ENTP,,,,,,,,
4/12/2020 21:29,2/25/2000,2/25,Pisces,INTP,,,,,,,,
4/13/2020 8:27,2/25/2000,2/25,Pisces,INTJ,,,,,,,,
4/13/2020 8:47,2/25/2000,2/25,Pisces,INFJ,,,,,,,,
4/13/2020 0:00,2/24/2000,2/24,Pisces,INTP,,,,,,,,
4/13/2020 0:36,2/23/2000,2/23,Pisces,ENFP,,,,,,,,
4/13/2020 4:38,2/22/2000,2/22,Pisces,INFP,,,,,,,,
4/12/2020 22:40,2/21/2000,2/21,Pisces,ENFP,,,,,,,,
4/12/2020 19:49,2/20/2000,2/20,Pisces,INTJ,,,,,,,,
4/13/2020 6:10,2/19/2000,2/19,Pisces,ISTJ,,,,,,,,
4/12/2020 23:00,2/17/2000,2/17,Aquaris,ISTJ,,,,,,,,
4/13/2020 2:16,2/16/2000,2/16,Aquaris,INFP,,,,,,,,
4/13/2020 2:54,2/16/2000,2/16,Aquaris,INFP,,,,,,,,
4/13/2020 17:45,2/15/2000,2/15,Aquaris,ENTP,,,,,,,,
4/13/2020 8:34,2/14/2000,2/14,Aquaris,INTJ,,,,,,,,
4/13/2020 9:14,2/14/2000,2/14,Aquaris,INFP,,,,,,,,
4/13/2020 6:06,2/13/2000,2/13,Aquaris,INTP,,,,,,,,
4/13/2020 9:28,2/13/2000,2/13,Aquaris,ENFP,,,,,,,,
4/13/2020 10:45,2/10/2000,2/10,Aquaris,INTJ,,,,,,,,
4/13/2020 5:25,2/5/2000,2/5,Aquaris,INTJ,,,,,,,,
4/12/2020 18:44,2/4/2000,2/4,Aquaris,INTJ,,,,,,,,
4/12/2020 21:40,2/2/2000,2/2,Aquaris,ISFP,,,,,,,,
4/13/2020 8:44,2/1/2000,2/1,Aquaris,INFP,,,,,,,,
4/12/2020 22:44,1/31/2000,1/31,Aquaris,INTJ,,,,,,,,
4/13/2020 9:43,1/31/2000,1/31,Aquaris,INTP,,,,,,,,
4/13/2020 8:12,1/30/2000,1/30,Aquaris,INTP,,,,,,,,
4/13/2020 1:03,1/28/2000,1/28,Aquaris,INTP,,,,,,,,
4/13/2020 5:16,1/28/2000,1/28,Aquaris,INTJ,,,,,,,,
4/13/2020 4:01,1/26/2000,1/26,Aquaris,ESFP,,,,,,,,
4/13/2020 3:43,1/21/2000,1/21,Aquaris,ISTJ,,,,,,,,
4/12/2020 22:49,1/19/2000,1/19,Capricorn,INFP,,,,,,,,
4/13/2020 4:19,1/17/2000,1/17,Capricorn,ENFP,,,,,,,,
4/13/2020 1:42,1/16/2000,1/16,Capricorn,INFP,,,,,,,,
